# speaker ground truth 标注 —— benchmark_t2_0274_0360.wav（85.6 秒）
# 来源：poc\t2.wav 273950–359590ms（t2_51min）（16k mono wav）
#
# ══ 怎么填（很简单）══
# 一行一个时间段：<开始> <结束> <说话人>    （# 号后面是备注，可写可不写）
#
#   时间怎么写都行：2110（毫秒）/ 2.1（秒）/ 0:02（分:秒）/ 0:02.1 都可以
#   说话人命名：human_spk_01、human_spk_02、human_spk_03……
#              ★ 同一个真人从头到尾必须用同一个名字 ★
#   听不出来/拿不准：写 unsure，并在 # 后说明原因
#
# 注意：
#   1. 下面各段的边界是"模型预测值"，仅供对照——请按你听到的真实切换点修改
#   2. 除了这些段，如果你听到段内还有别的说话人切换，就再加行把那段拆开
#   3. 最后回答"总人数"
#
# ══ 待确认的 1 段（把 TODO 改成 human_spk_XX）══
# 段1 模型判：spk-00（0.0s–85.6s） —— 内容：这一个哎呦我操了这不给人吃死啊这里全是老铁们全是吃饱饭的我说实话这啥呀你们没看过那种王博主测评单兵作战口粮吗就是那种各国
0 85620human_spk_01、human_spk_02      # 模型 spk-00
#
# ══ 逐句参考（模型预测，仅供精确定位切换点；不用逐句填）══
#      0– 15010 spk-00  这一个哎呦我操了这不给人吃死啊这里全是老铁们全是吃饱饭的我说实话这啥呀你们没看过那种王博主测评单兵作
#  15010– 26910 spk-00  那种应急的那种得吃饭粉的啊微波炉我都微波上了末世了马上末试了老铁不是那个我玩六十秒玩魔怔了啊末试了六
#  30080– 45090 spk-00  今玩得劲儿得劲儿啥呀这玩意儿说实话不说难吃吧但是咋的吃着难受啊AAA这玩意应急用的AAA应急用的能好吃到哪儿去老
#  45090– 55380 spk-00  我看这是哪个来我看一下子来我来问问豆包这是哪个咋这么轻这老轻了这个这是这是哪儿的呀这是七个小矮人吗这
#  59460– 65220 spk-00  来问问豆包这是什么问问豆包完后豆包怎么回答我我这是哪个的这不知道哪个的呀
#  66630– 68330 spk-00  哎呀这是这是
#  68330– 68750 spk-00  嗯
#  68750– 72340 spk-00  嗯这是美军单兵野战军粮
#  72340– 73490 spk-00  哦老铁们
#  74010– 77680 spk-00  这是美军单兵野战军粮这个事这个
#  77680– 81180 spk-00  哎呦我的妈吃的这么不好吗感觉这么轻薄呢这么轻便呢
#  81180– 85620 spk-00  这个是不是就一餐呢AAA不沉呢AAA一般是三餐这可能就一餐
#
# ══ 总人数 ══
# 把下面的 2 改成数字（你听到的真人数量，不含 BGM/系统音）：
总人数 TODO
